replication,threshold_eci_pre,rss_selected
589,-0.907,458.15346540289727
590,0.28161667,452.240259478658
591,-0.907,457.41211586081715
592,-0.907,458.2085960747769
593,-0.57963333,456.43340946089523
594,-0.907,456.6049780042125
595,-0.907,457.51265961516896
596,-0.73925,456.89863767535695
597,-0.907,457.4959881549215
598,-0.907,456.53174114033106
599,-0.907,458.42226420773363
600,-0.38943333,453.6143433323833
601,-0.57963333,457.94477554682123
602,-0.907,458.2089949987048
603,-0.907,456.51274652343534
604,-0.907,456.71353740455993
605,-0.73925,456.649932450441
606,0.51945,454.99068186251645
607,-0.57963333,456.1318346304231
608,-0.907,457.47247061035745
609,-0.907,456.98286943504456
610,-0.73925,455.2502369568423
611,-0.907,455.6781039123775
612,-0.38943333,454.3009855534742
613,-0.907,458.15340163964163
614,-0.907,457.0444547488423
615,-0.907,457.34925182121
616,-0.73925,456.67588611854575
617,-0.21506667,453.1918646691631
618,-0.907,455.63501587132345
619,0.51945,455.39388032735826
620,-0.907,456.4667680560507
621,-0.57963333,454.615368429471
622,-0.57963333,456.5886444839663
623,0.51945,454.5925357868029
624,-0.73925,456.76261219947867
625,-0.907,455.9502695340529
626,-0.907,455.4973900162634
627,-0.57963333,452.062864969789
628,-0.907,457.7372291101775
629,-0.907,455.58707366683035
630,-0.907,456.08118287203257
631,-0.907,457.64943778396776
632,-0.907,458.1509588165817
633,0.09166667,454.83926754511384
634,-0.21506667,457.6010424906849
635,-0.907,457.98793659606207
636,0.09166667,454.2944150740959
637,-0.73925,456.96712555077806
638,-0.57963333,458.1471336398208
639,-0.38943333,456.21065477485615
640,-0.907,454.7903957446259
641,-0.907,457.2780373041415
642,0.28161667,453.7474433610436
643,-0.907,458.4517373509474
644,-0.38943333,455.38103721880293
645,-0.73925,456.946286619601
646,-0.907,456.6410189362669
647,-0.907,456.58896674884295
648,-0.907,451.64568663917066
649,-0.73925,457.7158374228996
650,-0.907,457.812370028151
651,-0.907,458.1984897580974
652,-0.907,457.5010003995991
653,-0.907,453.79075965801513
654,-0.907,457.1471642146378
655,-0.907,456.2109471301255
656,0.28161667,454.12198069887353
657,-0.907,456.95370991092676
658,-0.57963333,457.9992375299713
659,-0.907,458.0641754382695
660,0.28161667,455.4487741967808
661,-0.21506667,456.0339400691838
662,-0.907,458.5606778567819
663,-0.907,456.0550703493134
664,-0.57963333,458.3937514537862
665,-0.73925,454.36192122445686
666,-0.57963333,455.70341373921326
667,-0.907,455.98707111414615
668,-0.907,457.7502271698009
669,-0.907,457.43530095517553
670,-0.907,457.4955210195038
671,-0.907,458.07079463530283
672,-0.907,458.5422147752078
673,-0.907,457.7596099322464
674,-0.907,458.4433876156689
675,-0.907,456.32807746592994
676,-0.907,457.6236175926444
677,-0.57963333,454.49556437531163
678,-0.57963333,457.07164765108456
679,-0.907,457.89219648983965
680,-0.57963333,457.37459761697835
681,-0.907,455.6592802428123
682,-0.907,457.8740328860049
683,-0.57963333,455.6309892818143
684,-0.73925,455.73187347969287
685,-0.73925,454.6167948729117
686,-0.907,458.1549735771275
687,-0.907,457.73028637218755
688,-0.907,457.58347146567706
689,-0.73925,458.23604270182364
690,-0.907,455.5578516053477
691,-0.73925,457.3753406227075
692,-0.38943333,452.9660310575863
693,-0.03963333,457.26600269002006
694,-0.907,457.48809053325647
695,-0.907,456.9944893482241
696,-0.907,455.35350044443754
697,-0.73925,456.9944123203291
698,-0.907,458.58485468853314
699,-0.907,457.8032325968948
700,0.28161667,454.4045975541886
701,-0.907,457.809335286049
702,-0.907,457.65425007672326
