country_iso3_code,pre_export_intensity,pre_import_intensity,pre_total_trade_intensity,pre_log_total_trade_openness,pre_wdi_total_openness,pre_real_gdp_usd,pre_total_minus_wdi_openness,pre_wdi_compatible_export_intensity,pre_wdi_compatible_import_intensity,pre_wdi_compatible_sum,in_primary_sample
NAM,32.75408861171521,55.9544600442263,88.70854865594151,4.495490640672557,90.80829528288446,11298888328.451422,-2.0997466269429452,33.52938353112356,57.2789117517609,90.80829528288446,1
NCL,14.276456284878371,26.711912210410834,40.98836849528921,3.7373926393398897,59.001531621466,8738203074.3957,-18.013163126176792,20.55053220846147,38.450999413004524,59.00153162146599,1
NER,7.884212470763759,12.208720289044464,20.092932759808225,3.0414701526446977,40.09555044425093,10225341385.469904,-20.002617684442708,15.732986449197565,24.362563995053367,40.09555044425093,1
NFK,,,,,,,,,,,0
NGA,8.219761294148519,7.2352760863616155,15.455037380510134,2.793443362929711,,489015283919.117,,,,,0
NIC,35.77090892304832,47.56797439554733,83.33888331859565,4.434640037771795,96.12949294745431,13350683383.28795,-12.790609628858661,41.26092407426019,54.86856887319412,96.12949294745431,1
NIU,,,,,,,,,,,0
NLD,52.71241628275479,54.894633270399346,107.60704955315413,4.687171372345239,156.979133811102,795648095118.5581,-49.372084257947876,76.89783786023831,80.08129595086369,156.979133811102,1
NOR,22.563222777633428,18.518621922682385,41.08184470031581,3.7389329239456486,69.552493566531,394398387916.1072,-28.470648866215186,38.20004721135345,31.35244635517755,69.552493566531,1
NPL,2.860641661508664,27.064955526330767,29.92559718783943,3.423996168976833,44.47454237891747,25163277638.433674,-14.54894519107804,4.25140150109898,40.22314087781849,44.47454237891747,1
NRU,26.19680018533626,74.21745907765951,100.41425926299576,4.5948400820880675,170.73940641619467,85331007.74593087,-70.32514715319891,44.54373458985699,126.19567182633772,170.7394064161947,1
NZL,17.89375747176222,17.191344560949847,35.085102032712065,3.5854275311655583,53.8002921967421,184797454338.85107,-18.715190164030034,27.43869405256021,26.361598144181894,53.800292196742106,1
OMN,33.19522963778834,34.07848814305094,67.27371778083928,4.220839813918701,89.39833080180681,81442647960.77733,-22.12461302096753,44.11229553075432,45.2860352710525,89.39833080180682,1
PAK,6.757940491067956,14.983835680198148,21.741776171266107,3.1236245816417694,25.62059968920867,317833117674.4035,-3.878823517942564,7.963585250867,17.657014438341665,25.620599689208667,1
PAN,12.755947286802106,62.54767437284587,75.30362165964796,4.331526298857097,88.34088881462735,58584193655.33044,-13.03726715497939,14.964376163496999,73.37651265113037,88.34088881462736,1
PCN,,,,,,,,,,,0
PER,18.594229153396835,17.798023275471767,36.3922524288686,3.6203411437361193,46.0217200825091,196461929298.76892,-9.629467653640496,23.514301867417096,22.507418215092002,46.0217200825091,1
PHL,20.454280250739075,31.491397506884223,51.945677757623294,3.9687667669163234,63.02867587112306,328638098825.62665,-11.08299811349977,24.818353629272828,38.21032224185024,63.02867587112307,1
PLW,6.428333313209968,40.66232268392914,47.090655997139116,3.8710515544439428,122.08583654731733,286698265.49293894,-74.99518055017822,16.66590608115347,105.41993046616383,122.0858365473173,1
PNG,33.99368220914439,19.738985210346325,53.73266741949072,3.9997350767541655,,22788449665.941784,,,,,0
POL,38.56599199525197,38.31021261122998,76.87620460648195,4.35475772879036,96.56240844217882,498249759030.8171,-19.686203835696872,48.44184348181676,48.12056496036205,96.56240844217882,1
PRK,,,,,,,,,,,0
PRT,26.007159775702732,32.434487325177166,58.44164710087989,4.084400351382535,81.65493813933277,203941130118.09995,-23.21329103845288,36.337323261937584,45.317614877395194,81.65493813933278,1
PRY,20.732070591549945,25.021362606740187,45.75343319829013,3.844015782285965,68.5848383873345,37847170350.841606,-22.831405189044368,31.077574108895547,37.50726427843895,68.5848383873345,1
PSE,6.4152553845904094,24.659731075609557,31.074986460199966,3.4676195024939234,68.21738103068816,14870100000.0,-37.14239457048819,14.083092893388239,54.13428813729992,68.21738103068816,1
PYF,3.7309506238743264,25.08476062902729,28.81571125290162,3.3946754324299895,54.60821802734356,5485548167.936086,-25.79250677444194,7.07046802800215,47.5377499993414,54.608218027343554,1
QAT,38.346552609479865,18.00979618223556,56.356348791715426,4.043688371573956,91.58328485289233,164211630179.07162,-35.22693606117691,62.3160180894593,29.26726676343303,91.58328485289233,1
ROU,34.05726455393318,38.322359724000734,72.37962427793391,4.29541105940307,85.523056519728,186275218921.2037,-13.143432241794088,40.24173087951955,45.28132564020844,85.52305651972799,1
RUS,22.852748594890432,14.004878039568991,36.85762663445942,3.6300835064110433,47.58466449614313,1351544837927.1562,-10.727037861683705,29.503808953501178,18.08085554264195,47.58466449614313,1
RWA,5.993722254725505,15.363354521900009,21.357076776625515,3.106308495208378,49.45405004687493,9002093218.85618,-28.096973270249418,13.878951855278082,35.575098191596844,49.454050046874926,1
SAU,21.81885933418086,19.53354455018163,41.35240388436249,3.7438576562264747,61.5196372996395,704070666545.898,-20.16723341527701,32.45974082387626,29.059896475763246,61.519637299639506,1
SDN,6.974573769778327,15.832713991842539,22.807287761620866,3.16811881953814,17.163777524903466,53049089419.135956,5.6435102367174,5.248762315216869,11.915015209686597,17.163777524903466,1
SEN,14.469070355390677,44.0925378066104,58.56160816200108,4.086521721415159,56.64126224232577,18994734741.117943,1.9203459196753059,13.994602165555367,42.6466600767704,56.641262242325766,1
SGP,80.2389167947572,86.42489101813395,166.66380781289112,5.120963866426481,316.368488091468,320462046684.72974,-149.7046802785769,152.3130013983213,164.05548669314678,316.36848809146807,1
